
time,ax,ay,az,wx,wy,wz,
21:15:15:700,0.22,-0.56,-0.41,-0.13,-0.08,-0.26,
21:15:15:701,0.22,-0.56,-0.41,-0.05,-0.05,-0.26,
21:15:15:701,0.22,-0.56,-0.41,-0.03,-0.04,-0.25,
21:15:15:702,0.22,-0.56,-0.41,-0.01,-0.02,-0.24,
21:15:15:702,0.29,-0.47,-0.46,-0.01,-0.02,-0.24,
21:15:15:703,0.29,-0.47,-0.46,0.03,0.01,-0.22,
21:15:15:704,0.29,-0.47,-0.46,0.07,0.06,-0.19,
21:15:15:707,0.29,-0.47,-0.46,0.09,0.08,-0.18,
21:15:15:708,0.49,-0.42,-0.50,0.09,0.08,-0.18,
21:15:15:708,0.49,-0.42,-0.50,0.12,0.14,-0.15,
21:15:15:709,0.49,-0.42,-0.50,0.15,0.20,-0.12,
21:15:15:712,0.49,-0.42,-0.50,0.16,0.24,-0.11,
21:15:15:714,0.49,-0.42,-0.50,0.18,0.31,-0.07,
21:15:15:716,0.49,-0.42,-0.50,0.20,0.38,-0.04,
21:15:15:717,0.72,-0.42,-0.46,0.20,0.38,-0.04,
21:15:15:718,0.72,-0.42,-0.46,0.21,0.41,-0.03,
21:15:15:726,0.72,-0.42,-0.46,0.22,0.47,0.01,
21:15:15:727,0.72,-0.42,-0.46,0.23,0.53,0.05,
21:15:15:727,0.72,-0.42,-0.46,0.23,0.54,0.06,
21:15:15:728,0.68,-0.36,-0.41,0.23,0.54,0.06,
21:15:15:728,0.68,-0.36,-0.41,0.22,0.57,0.10,
21:15:15:728,0.68,-0.36,-0.41,0.21,0.59,0.13,
21:15:15:730,0.68,-0.36,-0.41,0.21,0.59,0.15,
21:15:15:731,0.68,-0.36,-0.41,0.19,0.59,0.17,
21:15:15:750,0.68,-0.36,-0.41,0.18,0.57,0.18,
21:15:15:750,0.68,-0.36,-0.41,0.18,0.53,0.15,
21:15:15:751,0.68,-0.36,-0.41,0.19,0.53,0.13,
21:15:15:751,0.68,-0.36,-0.41,0.19,0.53,0.11,
21:15:15:752,0.68,-0.36,-0.41,0.18,0.52,0.06,
21:15:15:752,0.50,-0.21,-0.18,0.18,0.52,0.06,
21:15:15:752,0.50,-0.21,-0.18,0.18,0.52,0.03,
21:15:15:753,0.50,-0.21,-0.18,0.18,0.51,-0.02,
21:15:15:753,0.50,-0.21,-0.18,0.18,0.48,-0.06,
21:15:15:754,0.23,-0.13,0.03,0.18,0.48,-0.06,
21:15:15:754,0.23,-0.13,0.03,0.18,0.44,-0.06,
21:15:15:754,0.23,-0.13,0.03,0.19,0.31,-0.05,
21:15:15:755,0.23,-0.13,0.03,0.20,0.15,-0.03,
21:15:15:758,-0.59,-0.12,0.46,0.20,0.15,-0.03,
21:15:15:759,-0.59,-0.12,0.46,0.20,0.09,-0.02,
21:15:15:760,-0.59,-0.12,0.46,0.20,-0.05,-0.00,
21:15:15:760,-0.59,-0.12,0.46,0.20,-0.18,-0.00,
21:15:15:762,-0.59,-0.12,0.46,0.20,-0.23,-0.01,
21:15:15:763,-0.59,-0.12,0.46,0.18,-0.30,-0.03,
21:15:15:766,-0.59,-0.12,0.48,0.18,-0.30,-0.03,
21:15:15:767,-0.59,-0.12,0.48,0.16,-0.35,-0.08,
21:15:15:767,-0.59,-0.12,0.48,0.14,-0.36,-0.10,
